,Technology,Healthcare,Finance,Consumer Goods,Energy,Utilities,Real Estate,Materials,Industrials,Telecommunications
Technology,1.5869795656676977,0.4856494003528593,0.6719234182668923,0.6031016680492375,0.13902843764360767,0.5627895740503805,0.22338045092884073,0.8192104575357964,0.7321092188094012,0.4138334118671736
Healthcare,0.4856494003528593,2.1823492989823294,0.4859682507262318,0.19143161718278384,0.3385009386591854,0.4792686666072742,0.2877956373667168,0.3617360565832051,0.5276215727348368,0.5022369637105184
Finance,0.6719234182668923,0.4859682507262318,1.5045840953555534,0.2157067181394856,0.24522925266612716,0.8623374514786013,0.5142056456551445,0.259878277768607,0.4616562968573458,0.4036177306684476
Consumer Goods,0.6031016680492375,0.19143161718278384,0.2157067181394856,2.1613249840736684,0.9374762175766707,0.851612349272055,0.33068354793348,0.456566771230609,0.37389568839909026,0.5007148456545487
Energy,0.13902843764360767,0.3385009386591854,0.24522925266612716,0.9374762175766707,1.4712194284203521,0.6302111315825336,0.29632279288839586,0.613462682512714,0.4288463005294709,0.477910817740044
Utilities,0.5627895740503805,0.4792686666072742,0.8623374514786013,0.851612349272055,0.6302111315825336,2.134313681843452,0.315594292605084,0.46249501523006625,0.18520530546864256,0.40956296356382754
Real Estate,0.22338045092884073,0.2877956373667168,0.5142056456551445,0.33068354793348,0.29632279288839586,0.315594292605084,1.3533636717950979,0.7867336637199926,0.40207841100891745,0.7548098829912557
Materials,0.8192104575357964,0.3617360565832051,0.259878277768607,0.456566771230609,0.613462682512714,0.46249501523006625,0.7867336637199926,1.2864840985544257,0.49801159994974287,0.27170503894183967
Industrials,0.7321092188094012,0.5276215727348368,0.4616562968573458,0.37389568839909026,0.4288463005294709,0.18520530546864256,0.40207841100891745,0.49801159994974287,2.0996521893966618,0.24881702595302224
Telecommunications,0.4138334118671736,0.5022369637105184,0.4036177306684476,0.5007148456545487,0.477910817740044,0.40956296356382754,0.7548098829912557,0.27170503894183967,0.24881702595302224,1.3203308738136397
